SessionID,SAL_CODE,INDEX,Notes,Geometry,Geometry2,Geometry3
1717351457522,4750258,0,,,,
1717404672607,4750258,0,"Lots of solar geysers, but no other solar panels as far as I can tell.",,,
1717404672607,5992494,1,"Think I saw one panel, but was hard to make out, but think it was a panel.","{""type"":""Polygon"",""coordinates"":[[[30.98203478926224,-29.70795787393724],[30.982037471471255,-29.70799165409843],[30.9821179377417,-29.707986994766525],[30.98210855001015,-29.70795437943717]]],""geodesic"":true,""evenOdd"":true}",,
1717404672607,5240073,2,"Google Street View people are racist. They never go between the houses in poor areas lol, so hard to see what the small black marks on some of the rooves are. I think I saw a tyre on someones roof and a chimney on another, so I dont think they are solar panels or solar geysers, but could be.",,,
1717404672607,3840031,5,,"{""type"":""MultiPolygon"",""coordinates"":[[[[24.312553433510697,-28.407677544049683],[24.31257355007831,-28.407685801355644],[24.312627194258607,-28.40759615057078],[24.312611101004517,-28.407585534025454]]],[[[24.311159131694975,-28.417186785093723],[24.311179248262587,-28.41719975969496],[24.311211434770765,-28.417146681770735],[24.311191318203154,-28.41713960471217]]],[[[24.31112426297778,-28.417137245692537],[24.311141697336378,-28.41714432275127],[24.31116717832202,-28.417100680881553],[24.311152426172438,-28.417093603819904]]],[[[24.305289628786745,-28.419178185645958],[24.305288287682238,-28.41920059589835],[24.30532986192197,-28.419201775385197],[24.30532986192197,-28.41918054462012]]],[[[24.302712399790213,-28.416859094424698],[24.30268825990908,-28.416894479806594],[24.302768726179526,-28.416927506152327],[24.302779455015585,-28.416910992980746],[24.302774090597556,-28.41688976175636]]],[[[24.305698578403998,-28.416364546156974],[24.30568784956794,-28.416382238932012],[24.30574954037528,-28.416401111222147],[24.305768315838385,-28.41636808471222],[24.305736129330207,-28.41635864856463],[24.305728082703162,-28.41637398230403]]],[[[24.306788896368552,-28.415672166572172],[24.306809012936164,-28.415683961832986],[24.306829129503775,-28.415649755573014],[24.30681035404067,-28.415639139834905]]],[[[24.306766097591925,-28.415663909888824],[24.306782190846015,-28.415670987046013],[24.306802307413626,-28.41563678078186],[24.30678487305503,-28.415627344569106]]],[[[24.305872931092562,-28.414656398155984],[24.305893047660174,-28.41466937306726],[24.305917187541308,-28.41462926879091],[24.30589438876468,-28.414617473412626]]],[[[24.3051036587945,-28.414311615459596],[24.305126457571127,-28.414322231330765],[24.305168031810858,-28.41425263837812],[24.305149256347754,-28.414240842957888]]],[[[24.30507281339083,-28.414302179128764],[24.30508756554041,-28.414311615459596],[24.305131821989157,-28.414233765705116],[24.305118410944083,-28.41422668845187]]]],""evenOdd"":true}",,
1717404672607,6620061,6,,,,
1717404672607,7993138,7,,,,
1717404672607,7970353,8,"Some weird structures that I left off because I think they are rob glass panels. They could be panels, but really not sue so left them out.","{""type"":""MultiPolygon"",""coordinates"":[[[[28.264394565627242,-26.113405232090233],[28.264445527598525,-26.113532878360683],[28.26453672270503,-26.113503977330524],[28.264488442942763,-26.11338114787264]]],[[[28.265988256519297,-26.11464832539885],[28.26600300866888,-26.114672409355343],[28.266027148550013,-26.114655550586317],[28.26601239640043,-26.11463146662635]]],[[[28.265905108039835,-26.114568848307204],[28.265917177980402,-26.114586911287322],[28.26592924792097,-26.114580890294246],[28.265919860189417,-26.11456403151203]]],[[[28.265659685914972,-26.11460497426465],[28.26566639143751,-26.114614607851422],[28.26568784910963,-26.11460497426465],[28.26567712027357,-26.114595340677095]]],[[[28.265831347291925,-26.115050526821758],[28.26585012275503,-26.115040893270915],[28.265815254037836,-26.114992725504813],[28.26579781967924,-26.115002359059623]]],[[[28.26587560374067,-26.114890368935946],[28.26588633257673,-26.114906023475815],[28.265901084726313,-26.114900002499194],[28.265890355890253,-26.11488314376299]]],[[[28.265802358483132,-26.115352222149706],[28.265817110632714,-26.115367876627705],[28.265853320454415,-26.115347405386824],[28.26583990940934,-26.11533054671515]]],[[[28.266145681237038,-26.115119813114177],[28.266159092282113,-26.115141488587817],[28.26617116222268,-26.115129446658518],[28.26616043338662,-26.115116200534843]]],[[[28.266252969597634,-26.115004210520247],[28.2662650395382,-26.115024681821264],[28.26628113279229,-26.115013844074117],[28.266271745060738,-26.114999393743027]]],[[[28.26656544694787,-26.11507284957419],[28.266552035902794,-26.115090912476422],[28.266615067814644,-26.115130650851505],[28.26662177333718,-26.115114996341713]]],[[[28.266573493574914,-26.11507646215486],[28.266584222410973,-26.115087299896196],[28.266594951247033,-26.11507284957419],[28.26658154020196,-26.11506321602519]]],[[[28.267001621008337,-26.116431161360964],[28.26700027990383,-26.116452836591396],[28.267023078680456,-26.116454040770744],[28.267023078680456,-26.116431161360964]]],[[[28.267043195248068,-26.11642273210359],[28.267043195248068,-26.116445611515037],[28.267065994024694,-26.116446815694452],[28.26706867623371,-26.116421527923936]]],[[[28.267166576862753,-26.116560008504997],[28.267163894653738,-26.116600950558404],[28.267190716743887,-26.116604563091837],[28.267190716743887,-26.116558804326743]]],[[[28.2668688516621,-26.11675147269028],[28.2668688516621,-26.116769535333077],[28.26689567375225,-26.11677073950917],[28.26689567375225,-26.11675147269028]]],[[[28.266911767006338,-26.11674424763238],[28.266911767006338,-26.11676592280475],[28.266938589096487,-26.116764718628602],[28.266938589096487,-26.11674424763238]]],[[[28.266584461939487,-26.11549554256955],[28.26661530734316,-26.115522034729388],[28.266628718388233,-26.115508788650224],[28.266601896298084,-26.115483500676724]]],[[[28.266628718388233,-26.115514809595485],[28.266654199373875,-26.115534076618243],[28.266679680359516,-26.115505176082916],[28.266652858269367,-26.11548229648739]]],[[[28.26732413227735,-26.115736564063894],[28.26731340344129,-26.115748605930637],[28.267367047621587,-26.11578473152344],[28.267379117562154,-26.115770281287663]]],[[[28.267342907740453,-26.11571488870063],[28.267332178904393,-26.11573295150363],[28.267373753144124,-26.115759443609647],[28.26738582308469,-26.115742584997424]]],[[[28.268387767642093,-26.11621087863685],[28.268379721015048,-26.11622653299985],[28.268402519791675,-26.11623737063454],[28.26841593083675,-26.1162024493636],[28.268360945551944,-26.116177161540193],[28.268344852297854,-26.116208470273122],[28.26836362776096,-26.116221716273],[28.268371674388003,-26.116201245181653]]]],""evenOdd"":true}",,
1717404672607,9770100,9,,"{""type"":""MultiPolygon"",""coordinates"":[[[[27.41392117392687,-24.592026542304108],[27.413925197240392,-24.592052150926296],[27.41399359357027,-24.59204483417764],[27.413988229152242,-24.592020445012356]]],[[[27.413387414332906,-24.59290030782888],[27.413387414332906,-24.59292835517142],[27.413410213109533,-24.592925916272318],[27.41340618979601,-24.592897868929217]]],[[[27.412733845831784,-24.593383144546102],[27.4127365280408,-24.593407533445895],[27.412755303503904,-24.593407533445895],[27.412755303503904,-24.593381925100978]]],[[[27.412896119477185,-24.593369730649172],[27.412900142790708,-24.593412411225295],[27.41292025935832,-24.593408752890767],[27.412916236044797,-24.593368511203934]]],[[[27.412926964880857,-24.593367291758668],[27.41292964708987,-24.593408752890767],[27.412949763657483,-24.593406314001015],[27.41294574034396,-24.593366072313394]]],[[[27.412953786971006,-24.593384363991195],[27.412957810284528,-24.593405094556132],[27.412975244643125,-24.59340265566631],[27.41297256243411,-24.593383144546102]]],[[[27.412995361210736,-24.59340021677646],[27.41300474894229,-24.59343680011939],[27.413027547718915,-24.593433141785574],[27.413018159987363,-24.59340021677646]]],[[[27.413027547718915,-24.59334168340552],[27.413031571032437,-24.593398997331516],[27.413054369809064,-24.59339533899658],[27.413047664286527,-24.593339244514475]]],[[[27.413448654534253,-24.59332217227579],[27.413448654534253,-24.59334168340552],[27.413530461909208,-24.593335586177798],[27.4135291208047,-24.593314855601353]]],[[[27.413649678017915,-24.593322738814997],[27.41365236022693,-24.59333493327138],[27.413707345511735,-24.59332883604334],[27.413701981093705,-24.593316641586355]]],[[[27.413382798220933,-24.593332494380192],[27.413390844847978,-24.593359322180568],[27.413401573684038,-24.59335322495371],[27.413397550370515,-24.593332494380192]]],[[[27.413402914788545,-24.593336152716947],[27.413402914788545,-24.593359322180568],[27.413428395774186,-24.59335444439911],[27.41342705466968,-24.59333493327138]]],[[[27.413685887839616,-24.593383711085025],[27.41369929888469,-24.593417855543265],[27.413714051034273,-24.593412977764086],[27.413716733243287,-24.59338127219479]]],[[[27.414231717374147,-24.593631258196275],[27.414233058478654,-24.59365686649019],[27.414300113704027,-24.59364833039281],[27.414294749285997,-24.593622722097148]]],[[[27.41760648938595,-24.589533711933065],[27.41759576054989,-24.589577613299152],[27.417703048910486,-24.589595905530466],[27.417713777746545,-24.58955322365322]]],[[[27.417724506582605,-24.589547126240998],[27.41771645995556,-24.589586149674094],[27.417775468553888,-24.589597125012457],[27.417780832971918,-24.58955322365322]]],[[[27.419289268730378,-24.591442431971092],[27.419291950939392,-24.591464382321412],[27.419354982851242,-24.591460723929963],[27.419354982851242,-24.591438773579]]],[[[27.419546216870664,-24.5925745500238],[27.419546216870664,-24.59258552510019],[27.41956901564729,-24.59258674455306],[27.419566333438276,-24.5925745500238]]]],""evenOdd"":true}",,
1717404672607,7600704,10,"Not 100% sure, but think the polygons are likely solar panels.","{""type"":""MultiPolygon"",""coordinates"":[[[[27.86215694845195,-26.682291158283174],[27.86217304170604,-26.68228396853946],[27.862152925138428,-26.682256407850957],[27.86213683188434,-26.682265994178156]]],[[[27.85974579647367,-26.677526582912986],[27.85975250199621,-26.677536169637843],[27.859771277459313,-26.677526582912986],[27.859764571936775,-26.67751819452807]]],[[[27.86058876340677,-26.678063251746345],[27.860634360960024,-26.678024905019296],[27.86061558549692,-26.678006929986577],[27.86058339898874,-26.678030896696253],[27.860565964630144,-26.67801172332891],[27.860545848062532,-26.678023706683884]]]],""evenOdd"":true}",,
