SessionID,SAL_CODE,INDEX,Notes,Geometry
1716644134065,7984113,0,,none
1716644134065,8710148,1,,none
1716644134065,5991130,2,,none
1716644134065,5920195,3,,none
1716644134065,9740383,4,,"{""type"":""MultiPolygon"",""coordinates"":[[[[29.494321841877284,-23.902159326317523],[29.49433391181785,-23.902205917714785],[29.494831461590113,-23.902116413173605],[29.494808662813487,-23.902068595653617]]],[[[29.494709421079936,-23.90139056583858],[29.49465980021316,-23.901401600710326],[29.494819391649546,-23.902069821744103],[29.494867671411814,-23.90205143038572]]],[[[29.49431915966827,-23.90168850704518],[29.494343299549403,-23.90177923797582],[29.494637001436534,-23.901728968143733],[29.494608838241877,-23.901634558894067]]],[[[29.494238693397822,-23.90154014957545],[29.494257468860926,-23.901594097765962],[29.49430306641418,-23.901584289005726],[29.494311113041224,-23.9016247501369],[29.494610179346385,-23.90157080195918],[29.49457128731567,-23.901476392594017],[29.494237352293315,-23.901547506148205]]],[[[29.494214553516688,-23.9014457401879],[29.494226623457255,-23.901483749170392],[29.494658459108653,-23.901410183387696],[29.494650412481608,-23.901352556828684]]],[[[29.486060579987228,-23.90286733758545],[29.486084719868362,-23.902981363245573],[29.48630600211209,-23.90293477212778],[29.486279180021942,-23.902821972509898]]]],""evenOdd"":true}"
1716644134065,6760243,5,,"{""type"":""Polygon"",""coordinates"":[[[27.046340672040422,-26.722252994538145],[27.04627898123308,-26.722335647556708],[27.046307144427736,-26.722346428380785],[27.046366153026064,-26.722264973240204]]],""geodesic"":true,""evenOdd"":true}"
1716644134065,2620014,6,,none
1716644134065,7972314,7,,none
1716644134065,7985296,8,,"{""type"":""Polygon"",""coordinates"":[[[27.870262420207972,-26.236225396625745],[27.870255714685435,-26.23625787607257],[27.870277172357554,-26.23626509372619],[27.8702852189846,-26.236227802511003]]],""geodesic"":true,""evenOdd"":true}"
1716644134065,2720076,9,,none
1716644134065,7974000,10,,none
1716644134065,4620020,11,,none
1716644134065,1994340,12,,none
1716644134065,5990398,13,,none
1716644134065,1610055,14,,"{""type"":""MultiPolygon"",""coordinates"":[[[[19.011633696464106,-32.58340868510701],[19.01131719580035,-32.5834719665345],[19.010999354032084,-32.5835544583283],[19.011042269376322,-32.58373413197259],[19.011356087831064,-32.58365390038977],[19.011675270703837,-32.58358157890146]]],[[[19.011222486040115,-32.58326696442749],[19.010931466362,-32.583331375981906],[19.010981087228775,-32.58351218009789],[19.011268083593368,-32.583431948316424],[19.01161408855629,-32.58336188670206],[19.011563126585006,-32.58319464262702]]],[[[19.011085693380355,-32.583069209366],[19.011154089710235,-32.58323984375915],[19.011549715539932,-32.58314605138458],[19.011501435777664,-32.582977676875586]]],[[[19.011054847976684,-32.582941515865954],[19.011070941230773,-32.58299801743709],[19.011458520433425,-32.582913265067035],[19.01141962840271,-32.58278218124357],[19.011053506872177,-32.58286015354097],[19.011078987857818,-32.58293586570688]]],[[[19.01058629335946,-32.57899358139675],[19.010609092136086,-32.57907155698908],[19.011330606361092,-32.57885797150946],[19.011309148688973,-32.57877660547862]]]],""evenOdd"":true}"
1716644134065,2601368,15,,none
1716644134065,2990660,16,,none
1716644134065,1992169,17,,"{""type"":""MultiPolygon"",""coordinates"":[[[[18.489439171803504,-34.025003007173744],[18.489427101862937,-34.02502079115042],[18.489549142373114,-34.02506191658221],[18.489554506791144,-34.02504302111602]]],[[[18.491511492655665,-34.02302823252049],[18.491515515969187,-34.02304490538668],[18.49166571967402,-34.023022674897696],[18.49165499083796,-34.0230048905023]]],[[[18.491428344176203,-34.02319496103508],[18.49144041411677,-34.02323164126434],[18.491512833760172,-34.02322052604502],[18.491500763819605,-34.02318273428847]]]],""evenOdd"":true}"
1716644134065,6680262,18,,none
