SessionID,SAL_CODE,INDEX,Notes,Geometry,Geometry2,Geometry3
1722240536055,1994941,0,None as far as I can see.,,,
1722240536055,9760023,1,I hope I didnt oversteimate solar panels! SOme were hard to tell if they are solar panels or not.,"{""type"":""MultiPolygon"",""coordinates"":[[[[29.476971711559393,-24.312069840591903],[29.477001215858557,-24.31214439298611],[29.477223839206793,-24.312084506640133],[29.477195676012137,-24.31200628769665]]],[[[29.477001215858557,-24.312145615156155],[29.47701596800814,-24.312187168930237],[29.477237250251868,-24.312126060434228],[29.47722115699778,-24.31208695098134]]],[[[29.477249320192435,-24.312030731121673],[29.47726273123751,-24.312068618421133],[29.477427687091925,-24.312024620265863],[29.47740891162882,-24.311987955124792]]],[[[29.477261390133002,-24.31207595144553],[29.477276142282584,-24.312113838731506],[29.477437074823477,-24.312067396250352],[29.477423663778403,-24.312029508950527]]],[[[29.477355267448523,-24.312094284004676],[29.477364655180075,-24.312116283072136],[29.47752424661646,-24.312071062762644],[29.477516199989417,-24.312050285858295]]],[[[29.47745048586855,-24.312022175923456],[29.47746657912264,-24.31205761888375],[29.4776033717824,-24.31202339809466],[29.47758727852831,-24.311984288610105]]],[[[29.477437074823477,-24.311983066438508],[29.47745048586855,-24.312018509409754],[29.477589960737326,-24.311979399923686],[29.477573867483237,-24.311942734769552]]],[[[29.47726273123751,-24.31194762345738],[29.47727748338709,-24.311987955124792],[29.477396841688254,-24.311954956488776],[29.477380748434165,-24.311913402638613]]],[[[29.477308328790762,-24.311891403535967],[29.477321739835837,-24.311928068704933],[29.477382089538672,-24.311908513949458],[29.477370019598105,-24.311870626602165]]],[[[29.477433051509955,-24.3118987365706],[29.477449144764044,-24.31194029042557],[29.477600689573386,-24.31189751439819],[29.477585937423804,-24.311858404874823]]],[[[29.477420981569388,-24.311857182702017],[29.47743573371897,-24.311895070053335],[29.47758727852831,-24.311851071837832],[29.47756179754267,-24.311772852750394],[29.477458532495596,-24.311803407087165],[29.477469261331656,-24.31184129445455]]],[[[29.477584596319296,-24.311745964927933],[29.477623488350012,-24.31186084922038],[29.477706636829474,-24.311837627935628],[29.47766238038073,-24.311720299273922]]],[[[29.47762482945452,-24.3118632935659],[29.47766103927622,-24.311978177752053],[29.47774016444216,-24.311953734316898],[29.47770261351595,-24.31184129445455]]],[[[29.477710660142996,-24.311838850108607],[29.477746869964697,-24.311954956488776],[29.477785761995413,-24.311941512597574],[29.477749552173712,-24.311826628378203]]],[[[29.477643604917624,-24.311638413581125],[29.477689202470877,-24.311778963618334],[29.477726753397086,-24.31176551970847],[29.477683838052847,-24.311627414006427]]],[[[29.477716024561026,-24.311627414006427],[29.477744187755683,-24.3117044110093],[29.4777656454278,-24.31169707796343],[29.47774016444216,-24.311621303131172]]],[[[29.477753575487235,-24.311731298840556],[29.477779056472876,-24.311815628819826],[29.477801855249503,-24.311807073607092],[29.477773692054846,-24.311720299273922]]],[[[29.47778710309992,-24.31183396141658],[29.477820630712607,-24.311935401737443],[29.477842088384726,-24.311928068704933],[29.477807219667532,-24.311826628378203]]],[[[29.47781392519007,-24.31182540620509],[29.47784611169825,-24.311924402188506],[29.477926577968695,-24.311904847432483],[29.47789305035601,-24.311800962740488]]],[[[29.4777294356061,-24.311577304820712],[29.477809901876547,-24.311815628819826],[29.47789305035601,-24.31179607404701],[29.477842088384726,-24.31164330228069],[29.477801855249503,-24.31165552402877],[29.47777235095034,-24.311562638713834]]],[[[29.477851476116278,-24.311644524455556],[29.477899755878546,-24.311789963179884],[29.477935965700247,-24.311777741444768],[29.47788768593798,-24.31163230270642]]],[[[29.477901096983054,-24.311803407087165],[29.477915849132636,-24.311849849664966],[29.477957423372366,-24.311838850108607],[29.47793998901377,-24.311789963179884]]],[[[29.477921213550665,-24.3118632935659],[29.477933283491232,-24.311904847432483],[29.477973516626456,-24.311895070053335],[29.477962787790396,-24.31185351618354]]],[[[29.47759264294634,-24.31129009325239],[29.477683838052847,-24.31156630524072],[29.47785013501177,-24.31151986255909],[29.477758939905264,-24.311236317397086]]],[[[29.477779996849733,-24.315214240655468],[29.477841687657076,-24.31540000586823],[29.478032124497133,-24.315349898173167],[29.477958363749224,-24.315128690794914],[29.477918130614,-24.315140912207085],[29.47791276619597,-24.315123802229696],[29.477830958821016,-24.3151445786305],[29.477837664343554,-24.31516168860509],[29.477814865566927,-24.31516535502792],[29.47782291219397,-24.3151849092812],[29.477801454521853,-24.315188575703345],[29.477809501148897,-24.315208129953046]]],[[[29.477967751480776,-24.315128690794914],[29.478040171124178,-24.31534745389486],[29.478223902441698,-24.31529612403937],[29.47818098709746,-24.31516535502792],[29.478160870529848,-24.315172687873265],[29.47815550611182,-24.3151531336181],[29.478126001812655,-24.315164132886995],[29.478121978499132,-24.3151445786305],[29.47807638094588,-24.31515557790016],[29.478064311005312,-24.315134801501138],[29.47802944228812,-24.31514580077164],[29.47802407787009,-24.315129912936175],[29.478010666825014,-24.315131135077444],[29.478005302406984,-24.315118913664303]]],[[[29.47819573924704,-24.3151849092812],[29.478214514710146,-24.31523868346216],[29.478308392025667,-24.315213018515006],[29.47830168650313,-24.31519224212541],[29.478257430054384,-24.315204463531447],[29.478252065636354,-24.315188575703345],[29.478221220232683,-24.315197130687963],[29.47821719691916,-24.31518124285894]]],[[[29.478215855814653,-24.315243572022947],[29.47823329017325,-24.315294901899694],[29.478412998177248,-24.31524601630325],[29.478404951550203,-24.315225239919062],[29.478368741728502,-24.315233794901204],[29.47836471841498,-24.315220351357585],[29.47835398957892,-24.315222795638338],[29.478345942951876,-24.315204463531447]]],[[[29.47864903257056,-24.315373118814797],[29.478709382273394,-24.315545440285668],[29.47890652463599,-24.31548799982139],[29.478871655918795,-24.315393895174775],[29.478854221560198,-24.315398783729563],[29.478846174933153,-24.315389006619792],[29.478830081679064,-24.315393895174775],[29.47881130621596,-24.315346231755683],[29.478792530752855,-24.315349898173167],[29.478785825230318,-24.31533523250257]]],[[[29.478709382273394,-24.315549106697393],[29.478761685349184,-24.315718983657938],[29.478980285383898,-24.315656654727626],[29.478918594576555,-24.31548311127004]]],[[[29.478682560183245,-24.315776424017574],[29.47869597122832,-24.315822865140383],[29.479012471892077,-24.315734871419583],[29.478993696428972,-24.315688430264558]]],[[[29.47869597122832,-24.31582775367864],[29.47875363872214,-24.31600129666454],[29.479071480490404,-24.315910858800105],[29.47900978968306,-24.315740982096614]]],[[[29.478753822518115,-24.31600513055422],[29.47877662129474,-24.31606745931325],[29.47879271454883,-24.316063792916484],[29.47880344338489,-24.316096790483364],[29.478786009026294,-24.316101679011037],[29.478810148907428,-24.316175006903833],[29.479106533003574,-24.31609312408747],[29.479048865509753,-24.31592324762814]]],[[[29.479089098644977,-24.31602957320847],[29.47910787410808,-24.316096790483364],[29.479132013989215,-24.31609312408747],[29.479105191899066,-24.316019796147337]]],[[[29.47880880780292,-24.316177451166197],[29.478865134192233,-24.31634732728495],[29.478921460581546,-24.316332661729707],[29.478894638491397,-24.31624100197108],[29.478878545237308,-24.31624344623217],[29.47885038204265,-24.316164007722616]]],[[[29.47888793296886,-24.316154230671835],[29.47890804953647,-24.31620922657261],[29.47888793296886,-24.31621289296515],[29.47892548389507,-24.31633021747034],[29.47916017718387,-24.316265444579845],[29.47910787410808,-24.316094346219447]]],[[[29.479142742825275,-24.316198227394363],[29.479164200497394,-24.316264222449533],[29.479182975960498,-24.31625688966732],[29.47916151828838,-24.316194561001403]]],[[[29.478716271591907,-24.316493982743996],[29.478773939085727,-24.31666630269162],[29.479272829962497,-24.316525758071087],[29.479216503573184,-24.316353437932463]]],[[[29.478818195534473,-24.316935170227264],[29.478901344013934,-24.316915616243897],[29.478820877743487,-24.316663858438677],[29.47874041147304,-24.316685856713445]]],[[[29.478818195534473,-24.31694005872262],[29.478873180819278,-24.317108711697507],[29.47905557103229,-24.317059826800342],[29.478999244642978,-24.31688872951184]]],[[[29.4788772041328,-24.317113600186175],[29.478901344013934,-24.317196704464905],[29.479005950165515,-24.31716737354922],[29.478996562433963,-24.317145375358002],[29.478979128075366,-24.317149041723482],[29.478960352612262,-24.3170891577409]]],[[[29.4790394777782,-24.31687895251694],[29.479094463063007,-24.317047605573098],[29.47941364593578,-24.31695961270223],[29.479357319546466,-24.316788515278493]]],[[[29.478859769774203,-24.316652859299868],[29.47888256855083,-24.31672740899978],[29.479270147753482,-24.31661986187772],[29.479243325663333,-24.316546534242207]]],[[[29.478885250759845,-24.316731075377326],[29.47894023604465,-24.316899728630187],[29.479341226292377,-24.316788515278493],[29.479322450829272,-24.316733519628983],[29.479305016470676,-24.31674207450936],[29.47926612443996,-24.3166259725121]]],[[[29.47859742748455,-24.314427494462794],[29.478589380857507,-24.31444582668201],[29.4786242495747,-24.31446049245545],[29.478630955097238,-24.31444460453414]]],[[[29.478586698648492,-24.314450715273342],[29.478575969812432,-24.31446293675087],[29.478610838529626,-24.31448249111245],[29.478621567365686,-24.314464158898545]]],[[[29.478562558767358,-24.31448371325995],[29.4785518299313,-24.314500823323712],[29.478588039753,-24.314519155532313],[29.47859876858906,-24.314499601176376]]],[[[29.478543783304254,-24.314524044120834],[29.47853037225918,-24.31454359847299],[29.478563899871865,-24.31455826423515],[29.478575969812432,-24.314541154179135]]],[[[29.478518302318612,-24.314563152822146],[29.478507573482553,-24.314577818582038],[29.47854512440876,-24.314591262193783],[29.47855048882679,-24.31458026287518]]],[[[29.478498185751,-24.314599817218685],[29.47848745691494,-24.314616927266773],[29.47851427900509,-24.314631593020444],[29.47852903115467,-24.31461937155918]]],[[[29.478475386974374,-24.31463770375064],[29.478464658138314,-24.314653591647765],[29.478494162437478,-24.314670701688602],[29.478507573482553,-24.31465114735602]]],[[[29.478452588197747,-24.31467559027127],[29.478441859361688,-24.314692700309127],[29.478474045869866,-24.31470736605403],[29.478484774705926,-24.314692700309127]]],[[[29.4789662312241,-24.31456193067541],[29.478954161283532,-24.3145827071683],[29.479048038599053,-24.31462914872828],[29.479052061912576,-24.314610816535584]]],[[[29.47891795146183,-24.314645036626477],[29.478904540416757,-24.314664590959993],[29.478995735523263,-24.31470981034468],[29.479003782150308,-24.314697588890958]]],[[[29.47889783489422,-24.31467681241691],[29.47888710605816,-24.31469636674552],[29.478978301164666,-24.31474036397387],[29.47898634779171,-24.314726920377947]]],[[[29.47886564838604,-24.314725698232788],[29.478853578445474,-24.314739141828845],[29.478942091342965,-24.314785583331556],[29.478954161283532,-24.31477458402981]]],[[[29.478817368623773,-24.314808804076517],[29.478805298683206,-24.314822247663773],[29.47889783489422,-24.314873577711072],[29.478911245939294,-24.31485524555371]]],[[[29.479656900045434,-24.32004558451959],[29.479662264463464,-24.320062693832817],[29.479819173690835,-24.32002114263954],[29.479809785959283,-24.320000367037792]]],[[[29.47966494667248,-24.320084691517867],[29.47967433440403,-24.320103022919156],[29.47977894055561,-24.32007735895661],[29.479770893928567,-24.320056583364064]]],[[[29.479583515603274,-24.31980486300111],[29.47958619781229,-24.319819528154728],[29.479881240803927,-24.319737647692],[29.479875876385897,-24.31972298252892]]],[[[29.479594244439333,-24.319847636361075],[29.479596926648348,-24.319859857318406],[29.479898675162524,-24.319779198978203],[29.47988928743097,-24.319766978013092]]],[[[29.479604973275393,-24.31989040970661],[29.479610337693423,-24.319901408564558],[29.479908062894076,-24.31982319444287],[29.47990135737154,-24.319809751385836]]],[[[29.479618384320467,-24.319933183037705],[29.479621066529482,-24.3199454039868],[29.47992147393915,-24.319864745701018],[29.479917450625628,-24.3198513026484]]],[[[29.479631795365542,-24.319980844732523],[29.479634477574557,-24.319996731960146],[29.47993756719324,-24.319911185326372],[29.47993220277521,-24.319896520183367]]],[[[29.4796425242016,-24.320029728503442],[29.479645206410616,-24.320043171537144],[29.47995366044733,-24.319956402839978],[29.4799482960293,-24.31994418189195]]],[[[29.47965325303766,-24.320071279693913],[29.47965459414217,-24.320084722723205],[29.47996438928339,-24.320001620337464],[29.479960365969866,-24.319986955204918]]],[[[29.47966398187372,-24.320114052964],[29.479666664082735,-24.320128718081843],[29.47997914143297,-24.320043171537144],[29.479975118119448,-24.3200285064094]]],[[[29.479749812562197,-24.32013727273315],[29.47975785918924,-24.320148271569664],[29.479993893582552,-24.320085944816714],[29.479987188060015,-24.320071279693913]]],[[[29.47976456471178,-24.320177601795756],[29.479767246920794,-24.32019104481378],[29.480007304627627,-24.32012627389566],[29.48000059910509,-24.320112830870766]]]],""evenOdd"":true}",,
1722240536055,7970536,2,"Many solar panels or pool panels, which I left off. ","{""type"":""MultiPolygon"",""coordinates"":[[[[28.195495931650843,-26.147280909087165],[28.195509342695917,-26.147289336117666],[28.195522753740992,-26.147271278194427],[28.195509342695917,-26.147261647300876]]],[[[28.199658248310822,-26.146913196766146],[28.199620697384614,-26.146951720450552],[28.19969579923703,-26.14700950595332],[28.199730667954224,-26.146970982287982]]],[[[28.197918744155345,-26.146620183726558],[28.197908015319285,-26.146638241750544],[28.19795763618606,-26.14666352297942],[28.197972388335643,-26.146646668827444]]],[[[28.19788891695915,-26.146101405718355],[28.197862094869002,-26.146139929670703],[28.197945243348464,-26.146179657483252],[28.197972065438613,-26.14614113354401]]]],""evenOdd"":true}",,
1722240536055,1992356,3,"Really difficult to see the panels! SO hard to see whether they are solar panels, panels or soemthing else, so hope this is okay. ","{""type"":""MultiPolygon"",""coordinates"":[[[[18.480638361514412,-33.948394137660266],[18.48064909035047,-33.94841416267656],[18.48066518360456,-33.948409712673346],[18.4806544547685,-33.9483908001571]]],[[[18.481016094170567,-33.94734714563579],[18.481022799693104,-33.94736717089841],[18.48105632730579,-33.94736272084047],[18.481053645096775,-33.947342695576786]]],[[[18.4817604071722,-33.94765419914503],[18.481768453799244,-33.947673111824955],[18.48178722926235,-33.947668661783],[18.481777841530796,-33.947649749102084]]],[[[18.482318306647297,-33.94700337789265],[18.482320988856312,-33.94701895316024],[18.48246448703861,-33.94698112750545],[18.482455099307057,-33.94696666475065]]],[[[18.482200289450642,-33.94689435093978],[18.482208336077687,-33.946905476145446],[18.48223784037685,-33.946897688501636],[18.48223247595882,-33.946885450774204]]],[[[18.482888276062962,-33.94717248064531],[18.482896322690006,-33.94719028091552],[18.48290973373508,-33.947185830848326],[18.48290034600353,-33.94716803057718]]],[[[18.482929259386257,-33.946478267203474],[18.48293864711781,-33.94649606761887],[18.482957422580913,-33.94648939246353],[18.482946693744854,-33.9464727045729]]],[[[18.484027623977855,-33.94715023030232],[18.484045058336452,-33.94714355519828],[18.484006166305736,-33.947032303387324],[18.48399409636517,-33.94703452842497]]],[[[18.484239518490032,-33.947145780233015],[18.484247565117077,-33.94716024295738],[18.48430389150639,-33.94714355519828],[18.484295844879345,-33.9471313175062]]],[[[18.48425561174412,-33.94716803057718],[18.484263658371166,-33.94717915574708],[18.48431998476048,-33.947163580508814],[18.48431462034245,-33.94715023030232]]],[[[18.483800731389938,-33.947091106009424],[18.48380475470346,-33.94710556874307],[18.4838302356891,-33.9471000061535],[18.48382487127107,-33.94708331838258]]]],""evenOdd"":true}",,
1722240536055,7984023,4,,"{""type"":""MultiPolygon"",""coordinates"":[[[[27.870145146451303,-26.466198317964604],[27.870145146451303,-26.46621992792238],[27.87018806179554,-26.46622232902855],[27.87018806179554,-26.466200719071235]]],[[[27.870291326842615,-26.466173106342076],[27.870292667947123,-26.46622232902855],[27.870332901082346,-26.46621992792238],[27.87033021887333,-26.466206721837565],[27.870308761201212,-26.466205521284326],[27.870308761201212,-26.46617430689566]]],[[[27.869870220027277,-26.46648524985102],[27.869872902236292,-26.46649725535368],[27.869887654385874,-26.46649605480347],[27.869886313281366,-26.46648284875033]]],[[[27.86990508874447,-26.46660290372316],[27.869909112057993,-26.466620911958284],[27.869919840894052,-26.466618510860435],[27.869917158685038,-26.466600502624924]]],[[[27.86985815008671,-26.46605545203055],[27.869864855609247,-26.466077062015156],[27.86987960775883,-26.466075861460556],[27.869876925549814,-26.466053050920895]]],[[[27.869840715728113,-26.46587056644086],[27.869843397937128,-26.465889775347136],[27.869864855609247,-26.46588737423402],[27.869860832295725,-26.46586816532735]]],[[[27.869210396609613,-26.466704950351588],[27.86921173771412,-26.466731362405373],[27.86925331195385,-26.466726560214223],[27.869247947535822,-26.46670254925548]]],[[[27.869349871478388,-26.466520065805295],[27.869352553687403,-26.466558483397808],[27.869374011359522,-26.466558483397808],[27.869371329150507,-26.466517664705346]]],[[[27.868983749947855,-26.466211524050404],[27.868982408843348,-26.466223529581626],[27.86900654872448,-26.46622232902855],[27.86900654872448,-26.466211524050404]]],[[[27.868905965886423,-26.46599662482969],[27.868908648095438,-26.4660110314939],[27.869005207619974,-26.466003828162016],[27.86900252541096,-26.46598702038587]]],[[[27.868852321706125,-26.465715694516998],[27.86885500391514,-26.46573610400726],[27.868877802691767,-26.465732502332777],[27.868873779378244,-26.46571209284188]]],[[[27.8694424076894,-26.46582374471842],[27.86944374879391,-26.465845354746527],[27.86945850094349,-26.465842953632496],[27.869467888675043,-26.465834549732982],[27.869465206466028,-26.465815340817503],[27.86945447762997,-26.46581654137481]]],[[[27.869744156203577,-26.465560822384735],[27.869745497308084,-26.465580031342697],[27.86977902492077,-26.465580031342697],[27.869776342711756,-26.465560822384735]]],[[[27.86920100887806,-26.465407150605643],[27.86920637329609,-26.46542635958925],[27.869239900908777,-26.465421557343653],[27.869235877595255,-26.465403548920865]]],[[[27.86960602243931,-26.46527869044537],[27.869610045752832,-26.465299100013123],[27.86963150342495,-26.465299100013123],[27.869628821215937,-26.46527869044537]]],[[[27.869801823697397,-26.465339919137772],[27.869804505906412,-26.465353125322064],[27.869824622474024,-26.465349523635595],[27.869819258055994,-26.465339919137772]]]],""evenOdd"":true}",,
1722240536055,5991962,5,,"{""type"":""Polygon"",""coordinates"":[[[30.83187363215572,-29.837744133177104],[30.83185753890163,-29.837779032916472],[30.831876314364735,-29.837787176187238],[30.831892407618824,-29.83775227645071]]],""geodesic"":true,""evenOdd"":true}",,
1722240536055,1993033,6,,,,
1722240536055,1992166,7,,,,
1722240536055,7972960,8,,,,
1722240536055,2990510,9,,,,
