SAL_CODE,african,coloured,indian,white,other
2640025,381,0,0,0,3
2640038,474,6,0,0,3
2640047,492,0,0,0,0
2640048,501,0,0,3,0
2640060,531,3,0,0,3
2640061,543,0,0,0,0
2640074,585,0,0,0,0
2640079,582,0,0,0,9
2640087,597,3,0,0,3
2640098,642,0,3,0,3
2640105,660,0,0,0,6
2640107,663,3,3,0,0
2640108,669,0,3,0,0
2640116,699,0,0,0,6
2640124,765,3,0,0,0
2640128,846,3,0,0,3
2640131,897,0,3,3,0
2640084,549,12,0,24,12
2640042,489,3,0,0,6
2640043,495,3,3,0,0
2640045,492,0,3,6,0
2640062,540,3,3,0,0
2640070,561,3,0,3,0
2640076,579,3,0,0,3
2640094,597,27,0,0,3
2640099,645,0,0,0,0
2640102,648,3,0,0,9
2640104,654,0,3,0,9
2640118,702,0,0,6,0
2640040,477,12,0,0,0
2640063,534,3,9,0,0
2640089,594,3,0,0,12
2640119,714,3,0,0,0
2640053,501,15,0,15,0
2640035,96,342,3,0,0
2640095,126,501,0,0,0
2640097,39,597,0,0,3
2640129,189,672,9,0,3
2640134,102,990,3,3,12
2640016,33,21,9,273,6
2640030,99,153,12,135,12
2640092,204,183,12,198,18
2640009,150,15,6,129,0
2640011,237,18,3,57,6
2640013,48,6,6,258,9
2640017,192,24,15,105,6
2640020,213,42,9,66,15
2640021,69,21,12,252,3
2640022,54,69,51,189,6
2640023,90,21,0,264,6
2640024,117,30,3,231,0
2640027,111,12,9,252,3
2640031,120,6,15,249,24
2640032,207,9,39,168,3
2640036,195,24,12,168,45
2640037,84,45,0,321,6
2640046,81,15,27,366,6
2640075,90,495,3,0,3
2640078,168,30,9,372,12
2640083,456,48,9,75,3
2640096,363,27,33,201,9
2640103,87,534,3,27,12
2640115,474,138,9,75,3
2640068,321,195,0,39,0
2640049,492,6,3,0,0
2640034,441,3,0,0,0
2640039,468,15,0,0,3
2640041,21,465,0,3,0
2640132,78,960,0,0,0
2640014,330,0,0,0,0
2640015,339,0,0,0,0
2640028,351,3,0,36,0
2640033,429,0,0,0,6
2640051,519,0,3,3,0
2640069,555,0,0,3,3
2640100,639,9,3,0,3
2640125,759,18,0,6,0
2640019,345,0,0,0,0
2640026,387,0,0,0,0
2640057,534,0,0,0,3
2640066,540,9,0,0,3
2640072,570,6,0,0,0
2640088,588,15,0,0,3
2640090,600,0,0,0,12
2640091,615,0,0,0,3
2640064,294,102,3,147,6
2640004,90,15,0,6,0
2640138,1464,126,102,891,3
2640101,201,426,0,18,9
2640136,144,1125,9,0,0
2640012,321,3,0,0,6
2640018,342,0,3,0,0
2640077,534,27,0,24,0
2640112,672,6,0,0,0
2640003,96,6,6,9,0
2650003,45,0,0,6,0
2650011,45,60,0,195,6
2650029,66,15,0,291,0
2650010,300,0,0,0,3
2650025,354,3,0,0,3
2650040,417,0,0,0,3
2650044,444,3,0,0,0
2650045,441,0,0,6,0
2650049,459,0,0,3,0
2650053,477,0,6,0,0
2650056,495,0,0,0,0
2650063,528,0,0,0,0
2650065,537,0,0,0,0
2650077,555,9,0,0,3
2650083,567,9,0,0,3
2650004,144,0,0,9,0
2650005,120,0,0,36,0
2650008,246,0,0,30,0
2650013,273,0,0,39,0
2650021,195,3,0,138,6
2650032,297,3,0,93,0
2650046,336,3,0,111,0
2650050,426,0,0,48,0
2650055,360,24,3,111,0
2650113,624,3,3,63,3
2650117,585,6,0,345,0
2650118,822,6,0,111,0
2650120,1014,21,0,39,0
2650009,15,6,0,276,0
2650033,396,3,0,0,0
2650061,510,0,0,0,18
2650067,543,3,0,0,0
2650068,540,3,3,0,0
2650069,534,6,0,0,6
2650071,522,21,0,3,3
2650075,555,0,0,0,3
2650082,570,3,0,0,3
2650089,594,0,3,0,3
2650093,591,3,0,3,9
2650094,606,0,0,0,0
